time;position;rotationE;rotationQ
2022-05-21T20:39:50Z;(-0.08550902,2.600455,0.1426779);(355.1145,183.7949,359.3566);(0.03284124,0.004195362,-0.9985356,-0.04278263)
2022-05-21T20:39:50Z;(-0.08579016,2.932924,0.1425721);(355.2077,184.0444,359.1912);(0.03495993,0.005572443,-0.998489,-0.04203005)
2022-05-21T20:39:50Z;(-0.0861936,2.932855,0.141971);(355.3428,184.2454,359.1299);(0.03669948,0.006076506,-0.9984714,-0.04088209)
2022-05-21T20:39:50Z;(-0.08610798,2.932423,0.1416317);(355.5505,184.2453,359.1302);(0.03671533,0.006141394,-0.9985427,-0.03907285)
2022-05-21T20:39:50Z;(-0.08596507,2.932144,0.1419918);(355.5694,184.2186,359.1735);(0.03649896,0.005779564,-0.9985598,-0.03889263)
2022-05-21T20:39:50Z;(-0.08609014,2.932579,0.1427579);(355.4396,184.2863,359.1357);(0.03706545,0.006043683,-0.9984922,-0.04003926)
2022-05-21T20:39:50Z;(-0.08638102,2.932773,0.1433541);(355.3353,184.3701,359.0507);(0.03775713,0.006720128,-0.9984235,-0.04098048)
2022-05-21T20:39:50Z;(-0.08689188,2.932511,0.1437523);(355.4111,184.5189,359.0077);(0.03904478,0.007067638,-0.9983977,-0.04034336)
2022-05-21T20:39:51Z;(-0.08722749,2.932168,0.143892);(355.5074,184.8232,359.0366);(0.04171442,0.006744433,-0.9983252,-0.03951307)
2022-05-21T20:39:51Z;(-0.08773836,2.931906,0.1441153);(355.6824,185.072,358.9126);(0.04385693,0.007806613,-0.9982825,-0.0380501)
2022-05-21T20:39:51Z;(-0.08751497,2.931696,0.1443664);(355.7622,184.9019,358.8537);(0.04236335,0.008405896,-0.998368,-0.03736508)
2022-05-21T20:39:51Z;(-0.08758212,2.931953,0.1448918);(355.6028,184.9011,358.8595);(0.04234249,0.008295661,-0.9983168,-0.03875186)
2022-05-21T20:39:51Z;(-0.0875254,2.9323,0.1451477);(355.4778,184.783,358.7292);(0.0412556,0.00942502,-0.9983079,-0.0398793)
